lemat;nachechowanie
niebanalny;+ s
niebezpieczeñstwo;- m
niebezpieczny;- s
niebezpieczny;- m
niebywa³y;amb
niechêæ;- m
niechêtny;- s
niechybny;- s
nieczu³y;- s
niedelikatny;- s
niedobór;- s
niedochodowy;- m
niedojrza³oœæ;- s
niedoros³oœæ;- s
niedostateczny;+ s
niedostateczny;- m
niedostatek;- m
niedowierzaj¹cy;- s
niedzisiejszy;- s
nieefektowny;- s
nieestetyczny;- s
nieetyczny;- s
nieetyczny;- m
niefachowiec;- s
niefortunny;- s
niegodny;- m
niegodny;- s
niegodziwoœæ;- m
niegodziwy;- m
niegroŸny;+ s
nieinteresuj¹cy;- s
niejasny;- m
niejednomyœlny;- s
niekompletny;- s
niekorzystny;- s
niek³ótliwy;+ s
niemi³y;- s
niemoralny;- s
niemota;- m
niemo¿liwy;- m
nienaganny;+ s
nienawiœæ;- m
nienormalny;- s
nieobliczalny;amb
nieobowi¹zkowy;- s
nieobrazowy;- s
nieodpowiedni;- m
nieodpowiedni;- s
nieodzowny;+ s
nieograniczony;amb
nieokie³znany;amb
nieoryginalny;- s
niepe³nosprawny;- s
niepe³ny;- s
niepodatny;amb
niepodleg³oœæ;+ s
niepodleg³y;+ s
niepohamowany;amb
niepokalany;+ m
niepokaŸny;- s
niepokój;- s
niepokoj¹cy;- s
niepomyœlny;- s
niepomyœlny;- m
niepowa¿ny;- m
niepowodzenie;- m
nieprawdopodobny;amb
nieprawdopodobny;- s
nieprawy;- m
nieprecyzyjny;- s
nieprofesjonalista;- s
nieprzejrzysty;- s
nieprzemijaj¹cy;+ m
nieprzychylny;- s
nieprzyjacielski;- m
nieprzystêpny;- m
nierealny;- m
nierozerwalny;amb
nierozrzutny;+ s
nierygorystyczny;+ s
nierygorystyczny;amb
niesamowity;amb
nieskalany;+ m
nieskazitelny;+ m
nieskrêpowany;+ s
nieskromny;- s
nieskryty;amb
nieskuteczny;- m
niesmaczny;- s
nieœmia³y;- m
nieœmia³y;- s
nieœpieszny;amb
niespodzianka;amb
niespodziewany;amb
niespotykany;amb
niesprawiedliwoœæ;- m
niesprawiedliwy;- m
niestateczny;- s
niestosowny;- m
niestosowny;- s
niesumienny;- s
niesurowy;- s
niesurowy;+ s
nieswój;- s
niesympatyczny;- s
nieszczêœcie;- m
nieszczêœliwy;- m
nieszczêœnik;- m
nieszkodliwy;+ s
nies³uszny;- m
nies³uszny;- s
nies³ychany;- m
nies³ychany;amb
nietowarzyski;- s
nietrzeŸwy;- m
nietrzeŸwy;- s
nietypowy;amb
nieub³agany;- m
nieuchronny;- m
nieucywilizowany;- m
nieudany;- m
nieugiêty;amb
nieumiejêtny;- s
nieumyty;- m
nieunikniony;- m
nieuporz¹dkowany;- s
nieustanny;amb
nieuszkodzony;+ s
niewart;- m
niewinny;+ m
niewola;- s
niewola;- m
niewybuchowy;+ s
niewyczerpuj¹cy;- s
niewygas³y;amb
niewygoda;- s
niewygórowany;amb
niewymuszony;+ s
niewyszukany;amb
niewyszukany;- s
niewzruszony;amb
niezachwiany;+ m
niezagra¿aj¹cy;+ s
niezajmuj¹cy;- s
niezale¿noœæ;+ s
niezamo¿ny;- s
niezapomniany;amb
niezatarty;amb
niezawis³oœæ;+ s
niezawodny;+ s
niezdara;- s
niezgodnoœæ;- m
niezgodnoœæ;- s
niezgrabny;- m
niezmierny;amb
niezmierzony;amb
nieznane;amb
nieznany;- s
nieznoœny;- m
niezorganizowany;- s
niezrêczny;- m
niezrównany;+ s
niezrównowa¿ony;- s
niezrównowa¿ony;- m
niezwyk³oœæ;+ m
niezwyk³oœæ;amb
niezw³oczny;+ s
nie¿yciowy;- s
niez³omny;+ m
nie³adny;- s
nijaki;- s
nikczemnoœæ;- m
nikczemny;- m
niszczyæ;- m
normalny;+ s
nostalgia;- m
nowatorski;+ s
nudny;- m
obawa;- m
obchodziæ;+ s
obci¹¿enie;- m
obci¹¿enie;- s
obcy;- s
obczyzna;- s
obejrzeæ;+ s
obejœæ siê;amb
obelga;- m
obmierz³y;- m
obmierz³y;- s
obowi¹zkowy;+ s
obowi¹zkowy;+ m
obraza;- m
obroniæ;+ s
obrotnoœæ;+ m
obsesja;amb
ob³udny;- m
oceniaæ;+ s
oceniaæ;amb
ochronny;+ s
ociê¿a³y;- s
oczarowanie;amb
oczywisty;amb
odbiæ;+ m
odczuæ;amb
odczucie;amb
odejœcie;- m
odeprzeæ;amb
odmowny;- s
odmowny;- m
odosobnienie;- s
odpad;- s
odpieraæ;+ s
odpieraæ;amb
odporny;+ s
odpowiedzialnoœæ;amb
odpowiedzialny;+ m
odpychaj¹cy;- m
odraza;- s
odraza;- m
odrestaurowaæ;+ s
odrobinka;amb
odszyfrowaæ;+ s
odwa¿ny;+ m
odwo³aæ;amb
odwo³ywaæ;amb
ofensywny;amb
ofiara;- m
ofiarodawca;+ s
oficjalny;amb
ograniczony;- s
ograniczony;- m
ojczysty;+ s
ojczyzna;+ m
okaza³y;+ m
okruszek;+ s
okrutny;- m
olœniæ;+ m
olœnienie;+ m
olœniewaj¹cy;- s
omy³kowy;- s
oniemia³y;amb
opanowanie;+ s
opa³y;- s
opiekowaæ siê;+ s
opieraæ siê;+ s
opieraæ siê;amb
opiesza³y;- s
opór;amb
opóŸnienie;- s
opozycja;amb
oprzeæ siê;+ s
oprzeæ siê;amb
optymalny;+ s
optymista;+ m
optymista;+ s
optymistyczny;+ s
optymizm;+ m
opuszczony;- m
ordynarny;- m
organiczny;- m
organiczny;- s
oryginalny;+ s
orygina³;amb
orzeŸwiaj¹cy;+ s
os¹dzaæ;amb
os¹dzaæ;- s
osch³y;- s
osi¹gaæ;+ s
osi¹galny;+ s
osi¹gn¹æ;+ s
osio³;- m
osobowoœæ;amb
ostatni;amb
ostro¿ny;amb
oœwiecony;+ m
oszczêdnoœæ;+ s
oszczêdnoœæ;amb
oszczêdny;+ s
oszo³omienie;amb
oszukañczy;- m
os³upienie;- s
otaczaæ;- s
otoczyæ;amb
otoczyæ;- s
otoczyæ;+ s
otucha;+ m
oty³y;- m
ozdobiæ;+ s
o¿ywczy;+ s
pachn¹cy;+ s
pacykarz;- m
paczka;+ s
pal¹cy;- s
pal¹cy;amb
paliæ siê;amb
pamiêtaæ;+ s
panienka;amb
panika;- m
pannica;- s
pannica;amb
papuga;- m
park sztywnych;- m
parny;- s
partacz;- m
pasja;- m
pa³a;- s
pa³a;- m
pa³ka;- s
persona;amb
perspektywa;amb
pesymistyczny;- m
pewniak;+ s
pewny;+ s
pieczo³owitoœæ;+ s
piêkny;+ m
piek³o;- s
piek³o;- m
pieniactwo;- m
pierdel;- m
pierwszorzêdny;+ m
piêtno;- m
pijany;- s
pilnowaæ;+ s
pilnowaæ;amb
pilny;- s
pionek;- m
piskliwy;- s
pismak;- m
plama;- m
pl¹taæ siê;- s
plebs;- m
pobiæ;- m
pobie¿ny;- s
pobo¿ny;amb
pobo¿ny;+ s
pob³a¿liwy;amb
pochodziæ;+ s
poch³aniaæ;+ s
poch³on¹æ;+ s
poci¹gaj¹cy;+ m
pociecha;+ m
poczciwy;+ s
poczekaæ;amb
poczuæ;amb
poczynaæ sobie;- s
podatnoœæ;amb
podatny;- s
podbijaæ;amb
podbijaæ;- s
podejrzany;- s
podekscytowanie;+ m
podekscytowanie;+ s
podleg³oœæ;- s
podniecenie;amb
podniecenie;- s
podnios³y;amb
podpieraæ siê;+ s
podporz¹dkowaæ;amb
podrêczny;+ s
podrobiony;- m
podstêpny;- m
podwy¿ka;amb
pod³oœæ;- m
pod³y;- m
poetyczny;+ s
poganin;- s
pogoda ducha;+ s
pogodny;+ s
pogotowie;+ s
pog³ówkowaæ;+ s
poinformowaæ;+ s
pojawiæ siê;amb
pojednaæ siê;+ s
pojednaæ siê;+ m
pojednanie;+ s
pokaŸny;+ s
pokaŸny;amb
pokazowy;+ m
pokój;+ m
pokrewny;+ s
policzek;- m
pomijaæ;- s
pomin¹æ;- s
pomocny;+ m
pomyœlnoœæ;+ m
pomys³owoœæ;+ s
pomys³owy;+ s
popieraæ;+ s
popieraæ;amb
poplecznik;- s
poprawny;+ m
poprawny;+ s
poprzeæ;+ s
poprzeæ;amb
pora¿ka;- m
porywacz;- m
porz¹dek;+ s
porz¹dkowaæ;+ s
porz¹dny;+ s
posa¿ny;+ s
poœpiech;amb
pospieszaæ;amb
pospolity;- s
pospólstwo;- m
postaæ;+ s
postawny;+ s
postêp;+ s
poœwiêciæ;amb
poszukiwaæ;+ s
pos³annictwo;+ s
pos³uszeñstwo;amb
pos³uszny;+ s
potargaæ;- s
potê¿ny;+ m
potoczysty;+ s
potrzeba;+ s
potwierdzony;+ s
potwór;- m
potworny;- m
pouczaj¹cy;+ s
powab;+ m
powab;+ s
powaga;amb
powa¿ny;- m
powiernik;+ s
powinnoœæ;amb
powodowaæ;amb
powolny;- s
powo³anie;+ s
powœci¹gliwoœæ;- s
powœci¹gliwoœæ;amb
poza;- s
po¿¹danie;+ m
po¿¹danie;amb
pozorny;- s
pozyskaæ;+ s
po¿yteczny;+ s
po¿ytek;+ s
po¿ywny;+ s
po³¹czyæ;+ s
pracowity;+ m
praktyczny;+ s
prawa cz³owieka;+ s
prawdomówny;+ s
prawdziwoœæ;amb
prawy;+ s
pra¿¹cy;- s
pra¿¹cy;- m
premia;+ s
pretensja;- m
próba;- m
próba;- s
problem;- s
problematyczny;- m
problematyczny;- s
profesjonalny;+ m
profesjonalny;+ s
progres;+ m
projektowaæ;+ s
prostacki;- m
prostoduszny;+ s
prostota;amb
prostota;+ s
prosz¹cy;- s
prosz¹cy;amb
prowizoryczny;- s
pró¿nia;- m
pró¿nia;- s
pró¿ny;- m
prymitywny;- m
przebaczyæ;+ s
przebaczyæ;+ m
przebieg³y;amb
przebogaty;+ m
przeciêtny;amb
przeciwny;- m
przeciwstawny;amb
przedsiêbiorczoœæ;+ m
przedstawiaæ;+ s
przedstawiæ;+ s
przegrana;- m
przejechaæ;- m
przekonany;amb
przemêczenie;- s
przemijaj¹cy;- s
przemoczony;- s
przemokniêty;- s
przemyœlany;+ s
przenikliwy;amb
przepe³nienie;- s
przera¿aj¹cy;- m
przera¿enie;- m
przesadny;- s
przesadzony;- s
przeœmiewca;amb
przestarza³y;- s
przestêpca;- m
przestêpczy;- s
przestrach;- m
przestronny;+ s
przesyt;- s
przeszkoda;- s
przes³uchaæ;+ s
przet³uszczony;- s
przewlek³y;- s
przewrotny;- s
przeznaczenie;+ m
przeznaczenie;+ s
przeznaczenie;amb
przezorny;+ s
prze¿ycie;amb
prze³om;+ m
prze³om;+ s
prze³omowy;amb
przychylnoœæ;+ m
przydatny;+ s
przygnêbienie;- m
przygnêbiony;- m
przygoda;amb
przygoda;+ s
przyg³up;- m
przyjaciel;+ m
przyjacielski;+ s
przyjaŸñ;+ m
przyjazny;+ s
przyjazny;+ m
przyjemnoœæ;+ m
przykroœæ;- m
przykrótki;- s
przyk³adny;+ s
przymus;- s
przymuszaæ;- m
przymu³;- m
przynale¿noœæ;+ s
przypadek;amb
przystêpny;+ s
przystojny;+ m
przys³ugiwaæ;+ s
przytoczyæ;+ s
przytomny;+ m
przytomny;+ s
przyt³aczaj¹cy;- s
przywi¹zanie;amb
przywi¹zany;+ s
przywilej;+ s
przyzwoity;+ s
psiarnia;- m
psuæ;- s
pucha;- s
pud³o;- s
pustka;- m
pustka;- s
pustkowie;- s
pustynny;- s
puszka;- s
pycha;- m
pysza³kowaty;- s
pyszny;- s
p³aczliwy;- m
p³aczliwy;- s
p³akaæ;amb
p³aski;- s
racjonalistyczny;+ s
racjonalny;+ s
r¹czy;+ s
radoœæ;+ m
radosny;+ m
radykalny;amb
radyka³;- s
raj;+ s
raj;+ m
raptowny;amb
ratowaæ;+ s
ra¿¹cy;- s
ra¿¹cy;- m
realista;amb
realnoœæ;amb
renoma;+ m
reprezentacyjny;+ m
resztka;- s
rewelacyjny;+ m
rewolucja;amb
rewolucyjny;amb
rezerwa;amb
rezerwa;- s
robota;amb
rocznica;amb
romantyczny;+ s
równy;+ m
rozbawiony;amb
rozbiæ;- s
rozbie¿ny;amb
rozbudzaæ;amb
rozbudziæ;+ s
rozbudziæ;amb
rozgardiasz;- s
rozgniewany;- m
rozjuszony;- s
rozkosz;+ m
rozkwit;+ s
rozkwit;+ m
rozliczny;amb
rozmazany;- s
rozmyœlny;- s
rozmyœlny;amb
rozpacz;- m
rozpaczliwy;- m
rozpadlina;- s
rozrywka;+ s
rozs¹dek;+ m
rozs¹dny;+ s
rozstrzygaj¹cy;+ s
rozszyfrowaæ;+ s
roztropnoœæ;+ s
rozum;+ s
rozumny;+ s
rozwaga;+ s
rozwa¿ny;+ s
rozwi¹zanie;+ s
rozwi¹z³y;amb
rozwi¹z³y;- s
rozwój;+ m
rozz³oszczony;- m
ruina;- m
rumiany;+ s
rwetes;- s
rygor;+ s
rygor;amb
rywal;- s
ryzykant;amb
ryzyko;amb
rzeczowy;+ s
rzekomy;- s
rzeœki;+ s
rzetelny;+ s
rzewny;- s
rzutkoœæ;+ m
samorzutny;+ s
samostanowienie;+ s
samotny;- s
samowolny;- s
samowystarczalny;+ s
samow³adny;- s
satysfakcja;+ m
schludny;+ s
schronienie;+ s
œciek;- s
œcisk;- s
sêdziwy;+ s
sensacja;amb
sensowny;+ s
sentymentalny;- s
